ds,yhat,yhat_lower,yhat_upper
2016-02-27,5240.615865267455,-1897.9721914465347,11393.408036769279
2016-02-28,4776.000469853523,-1931.1970232083495,11187.023542187644
2016-02-29,1356.8404710000386,-4593.1190275692215,8609.298284004566
2016-03-01,89.00473822404729,-6309.459382735663,6933.529049135596
2016-03-02,513.800280308933,-5992.5672950111675,7424.331258267134
2016-03-03,546.1954999501204,-6326.054028808889,7061.340823252251
2016-03-04,1559.1770151480323,-5200.891350862716,8074.252567421003
2016-03-05,5369.470321561137,-1380.8799576937263,11939.791855809452
2016-03-06,4840.149645895937,-1975.5676634179665,12309.481198879159
2016-03-07,1354.278706343116,-5760.894674984404,7629.407115438296
2016-03-08,19.795218717964417,-7178.973345846498,6841.028634574659
2016-03-09,380.11681754141955,-6204.971006212732,7445.13694434792
2016-03-10,352.3017102980257,-6587.090995937354,6963.46892811539
2016-03-11,1311.3427138173392,-5199.853168739297,7943.528413353594
2016-03-12,5075.826809808053,-1964.2732593308817,11874.603964597762
2016-03-13,4510.487399705491,-1904.7592612783951,11265.681913693901
2016-03-14,999.7927182069834,-5090.0828735016175,7315.464241411127
2016-03-15,-347.2151512858836,-6912.813852966784,6713.37783795551
2016-03-16,13.64842794766082,-6509.2440358117,6537.069944465529
2016-03-17,-0.15645442747063498,-6953.521263729107,6881.634645323521
2016-03-18,986.3824095077052,-5554.100341276106,7478.02098499193
2016-03-19,4791.482539752475,-1763.8546252516583,11246.020219572085
2016-03-20,4279.123980967609,-2334.2574918269997,11363.423882727468
2016-03-21,832.6539752585968,-5765.361681402907,7939.950593249124
2016-03-22,-440.34680844977447,-6650.248405215947,6194.316419818287
2016-03-23,2.5419287994109254,-7019.248402557884,6369.359132519739
2016-03-24,76.75982494344953,-6460.238761038309,7121.331287494564
2016-03-25,1155.097387981502,-5662.807157220863,8227.19987776974
2016-03-26,5053.410613251417,-1358.2741147741951,11792.649999794381
2016-03-27,4633.244474330491,-1865.8817270229092,11372.883873236648
2016-03-28,1275.5068704723235,-5330.399124551825,7865.6250684412435
2016-03-29,85.40516432110599,-6536.043691939143,6878.3038440097835
2016-03-30,603.1217170603259,-6116.910429126263,7205.009547717039
2016-03-31,742.0599519756997,-6198.350212609887,7397.220284786312
2016-04-01,1873.2373291420836,-4570.056177425844,8731.66511150355
2016-04-02,5811.054684563085,-1183.866269695714,12335.000737714361
2016-04-03,5415.966086299739,-997.606842452477,12322.009015135507
2016-04-04,2068.1893793262234,-4518.189316822061,8891.779917596354
2016-04-05,872.6684074236709,-5892.77825874711,7332.654441835921
2016-04-06,1369.7624742832713,-5700.1884389803745,8280.44992908258
2016-04-07,1473.4940558574099,-5805.218526209434,7872.1483338389535
2016-04-08,2555.930971670091,-3975.105115574572,9317.561330272409
